Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Contaminants,Data Available,Source
Princeton Water & Sewer Commission,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Princeton, Kentucky,10413,https://www.ewg.org/tapwater/system.php?pws=KY0170360,5,12 ,Arsenic;Benzo[a]pyrene;Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Aluminum;Barium;Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Surface water
Rattlesnake Ridge Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Carter County, Kentucky,11567,https://www.ewg.org/tapwater/system.php?pws=KY0220555,2,11 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Strontium,2012-2017,Surface water
Richmond Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Richmond, Kentucky,35640,https://www.ewg.org/tapwater/system.php?pws=KY0760370,3,13 ,Arsenic;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Strontium;Vanadium,2012-2017,Surface water
Rowan Water Inc,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Rowan County, Kentucky,18765,https://www.ewg.org/tapwater/system.php?pws=KY1030375,2,10 ,Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium*;Chlorate;Chromium (hexavalent);Fluoride*;Haloacetic acids (HAA5);Nitrate*;Strontium,2012-2017,Purchased surface water
Russell Springs Water & Sewer,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Russell Springs, Kentucky,11567,https://www.ewg.org/tapwater/system.php?pws=KY1040377,1,6 ,Total trihalomethanes (TTHMs);Chromium (hexavalent);Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased surface water
S E Daviess County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Daviess County, Kentucky,18827,https://www.ewg.org/tapwater/system.php?pws=KY0300387,3,12 ,Arsenic*;Chromium (hexavalent);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium*;Chlorate;Chromium (total);Fluoride*;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased groundwater
Shelbyville Water & Sewer Commission,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Shelbyville, Kentucky,23760,https://www.ewg.org/tapwater/system.php?pws=KY1060394,3,13 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Aluminum;Atrazine;Barium;Benzo[a]pyrene;Cyanide;Di(2-ethylhexyl) phthalate;Fluoride;Haloacetic acids (HAA5);Simazine;Strontium,2012-2017,Surface water
Somerset Water Service,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Somerset, Kentucky,29700,https://www.ewg.org/tapwater/system.php?pws=KY1000403,3,13 ,Chromium (hexavalent);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Benzo[a]pyrene;Chlorate;Fluoride;Haloacetic acids (HAA5);Nitrate;Simazine;Strontium;Vanadium,2012-2017,Surface water
Southeastern Water Assoc/Nelson Valley,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pulaski County, Kentucky,21895,https://www.ewg.org/tapwater/system.php?pws=KY1000311,3,14 ,Chromium (hexavalent);Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Aluminum*;Barium*;Benzo[a]pyrene*;Chlorate;Chromium (total);Fluoride*;Haloacetic acids (HAA5);Nitrate*;Simazine*;Strontium;Vanadium,2012-2017,Purchased surface water
Southern Madison Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Madison County, Kentucky,14707,https://www.ewg.org/tapwater/system.php?pws=KY0760407,3,13 ,Arsenic*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs);Aluminum*;Barium*;Chromium (hexavalent);Chromium (total);Fluoride*;Haloacetic acids (HAA5);Manganese*;Nitrate*;Strontium;Vanadium,2012-2017,Purchased surface water
Southern Water & Sewer District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Floyd County, Kentucky,22480,https://www.ewg.org/tapwater/system.php?pws=KY0360026,4,12 ,Arsenic;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Selenium;Strontium,2012-2017,Surface water
Springfield Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Springfield, Kentucky,13205,https://www.ewg.org/tapwater/system.php?pws=KY1150415,4,13 ,Arsenic;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Strontium;Vanadium,2012-2017,Surface water
Taylorsville Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Taylorsville, Kentucky,18973,https://www.ewg.org/tapwater/system.php?pws=KY1080425,2,8 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);1%2C4-Dioxane;Chlorate;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased surface water
Versailles Water System,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Versailles, Kentucky,17822,https://www.ewg.org/tapwater/system.php?pws=KY1200439,4,13 ,Benzo[a]pyrene;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chromium (hexavalent);Chromium (total);Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Surface water
Warren County Water District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Kentucky Department for Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Warren County, Kentucky,74096,https://www.ewg.org/tapwater/system.php?pws=KY1140487,3,9 ,Chromium (hexavalent);Nitrate*;Total trihalomethanes (TTHMs);Atrazine*;Chlorate;Chromium (total);Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Purchased surface water
