Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Data Available,Source,Exceed,Other
Tewksbury Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Tewksbury, Massachusetts,29855,https://www.ewg.org/tapwater/system.php?pws=MA3295000,11,25 ,2012-2017,Surface water,Bromodichloromethane;Chlorate;Chlorite;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Bromoform;Chloromethane;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Perchlorate;Strontium;Vanadium
Tisbury Water Works,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Tisbury, Massachusetts,15862,https://www.ewg.org/tapwater/system.php?pws=MA4296000,6,11 ,2012-2017,Groundwater,Chloroform;Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs),Chromium (total);Manganese;Strontium;Vanadium
Uxbridge DPW Water Division,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Uxbridge, Massachusetts,10592,https://www.ewg.org/tapwater/system.php?pws=MA2304000,5,12 ,2012-2017,Groundwater,Chloroform;Chromium (hexavalent);Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Barium;Bromodichloromethane;Chlorate;Manganese;Perchlorate;Strontium
Wakefield Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Wakefield, Massachusetts,24932,https://www.ewg.org/tapwater/system.php?pws=MA3305000,6,16 ,2012-2017,Surface water,Arsenic;Bromodichloromethane;Chloroform;Dibromochloromethane;Nitrate;Total trihalomethanes (TTHMs),Bromoform;Chlorate;Chloromethane;Chromium (hexavalent);Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium
Walpole Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Walpole, Massachusetts,23997,https://www.ewg.org/tapwater/system.php?pws=MA4307000,8,22 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Bromoform;Chlorate;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;Perchlorate;Simazine;Strontium;Vanadium
Waltham Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Waltham, Massachusetts,60630,https://www.ewg.org/tapwater/system.php?pws=MA3308000,6,17 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Dichloroacetic acid*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Barium*;Bromide*;Chlorate;Fluoride*;Haloacetic acids (HAA5)*;Manganese*;Monochloroacetic acid*;Nitrate*;Strontium;Trichloroacetic acid*
Wannacomet Water Company,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Nantucket, Massachusetts,27703,https://www.ewg.org/tapwater/system.php?pws=MA4197000,3,7 ,2012-2017,Groundwater,Arsenic;Chromium (hexavalent);Radium%2C combined (-226 & -228),Fluoride;Strontium;Vanadium
Wareham Fire District,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Wareham, Massachusetts,20748,https://www.ewg.org/tapwater/system.php?pws=MA4310000,6,19 ,2012-2017,Groundwater,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Bromoform;Chlorate;Chromium (total);Haloacetic acids (HAA5);Manganese;Nitrate;Perchlorate;Silver;Strontium;Tetrachloroethylene (perchloroethylene);Trichloroacetic acid;Vanadium
Watertown Water Department (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Watertown, Massachusetts,31915,https://www.ewg.org/tapwater/system.php?pws=MA3314000,6,17 ,2012-2017,Purchased surface water,Bromodichloromethane*;Chloroform*;Dibromochloromethane*;Dichloroacetic acid*;Radium%2C combined (-226 & -228)*;Total trihalomethanes (TTHMs)*,Barium*;Bromide*;Chlorate;Fluoride*;Haloacetic acids (HAA5)*;Manganese*;Monochloroacetic acid*;Nitrate*;Strontium;Trichloroacetic acid*
Wayland Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Wayland, Massachusetts,14567,https://www.ewg.org/tapwater/system.php?pws=MA3315000,9,26 ,2012-2017,Groundwater,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Acetone;Aluminum;Barium;Bromate;Chlorate;Chlorodifluoromethane;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Perchlorate;Simazine;Strontium;Trichloroacetic acid
Webster Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Webster, Massachusetts,16767,https://www.ewg.org/tapwater/system.php?pws=MA2316000,7,14 ,2012-2017,Groundwater,Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Manganese;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Bromochloromethane;Bromoform;Chlorate;Haloacetic acids (HAA5);Strontium;Xylenes (total)
Wellesley Water Division (MWRA),EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Wellesley, Massachusetts,29087,https://www.ewg.org/tapwater/system.php?pws=MA3317000,10,21 ,2012-2017,Purchased surface water,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Chlorate;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monobromoacetic acid;Monochloroacetic acid;Perchlorate;Strontium
West Springfield Dpw Water Division,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,West Springfield, Massachusetts,28391,https://www.ewg.org/tapwater/system.php?pws=MA1325000,6,13 ,2012-2017,Purchased surface water,Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs),Chloroform;Chloromethane;Ethylene dibromide;Perchlorate;Strontium;Vanadium
Westborough Water Department,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Massachusetts Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Westborough, Massachusetts,18272,https://www.ewg.org/tapwater/system.php?pws=MA2328000,9,27 ,2012-2017,Surface water,Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Total trihalomethanes (TTHMs);Trichloroacetic acid,Aluminum;Barium;Bromoform;Chlorate;Chromium (total);cis-1%2C2-Dichloroethylene;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Monochloroacetic acid;MTBE;Perchlorate;Radium%2C combined (-226 & -228);Selenium;Strontium;Vanadium
